Beer,Brewery,Style,ABV,IBU,Comments,Venue,Venue City,Venue Region,Venue Lat,Venue Lng,Score,Date,Checkin URL,Beer URL,Brewery URL,Beer Country
"American Pale Ale","Dark Star Brewing Co.","American Pale Ale",4.7,0,,"Cellar Door",,,52.5991,-1.84788,4,"2014-11-12 19:00:46",https://untappd.com/c/128976145,https://untappd.com/beer/17801,https://untappd.com/brewery/1513,England
"Point Amber Classic","Stevens Point Brewery","American Amber / Red Ale",4.73,0,,,,,,,3.5,"2014-11-12 19:32:32",https://untappd.com/c/128978889,https://untappd.com/beer/72848,https://untappd.com/brewery/1200,"United States"
"Anchor Steam Beer","Anchor Brewing Company","California Common",4.9,0,,"Cellar Door",,,52.5991,-1.84788,4,"2014-11-12 19:35:46",https://untappd.com/c/128979141,https://untappd.com/beer/6204,https://untappd.com/brewery/3891,"United States"
"Point Belgian White","Stevens Point Brewery",Witbier,5.38,0,,,,,,,2,"2014-11-12 19:41:25",https://untappd.com/c/128979688,https://untappd.com/beer/11068,https://untappd.com/brewery/1200,"United States"
"Pale Ale","Sierra Nevada Brewing Co.","American Pale Ale",5.6,37,,"Cellar Door",,,52.5991,-1.84788,4.5,"2014-11-12 19:45:49",https://untappd.com/c/128980107,https://untappd.com/beer/6284,https://untappd.com/brewery/1142,"United States"
"Cascade Pale Ale","Stevens Point Brewery","American Pale Ale",5.4,0,,,,,,,4,"2014-11-12 20:01:54",https://untappd.com/c/128981750,https://untappd.com/beer/2760,https://untappd.com/brewery/1200,"United States"
"Snake Dog IPA","Flying Dog Brewery","American IPA",7.1,0,,,,,,,4,"2014-11-12 20:16:09",https://untappd.com/c/128983264,https://untappd.com/beer/3759,https://untappd.com/brewery/540,"United States"
"Black Jack Porter","Left Hand Brewing Company","English Porter",6.8,0,,,,,,,4.5,"2014-11-12 20:40:08",https://untappd.com/c/128985982,https://untappd.com/beer/213,https://untappd.com/brewery/779,"United States"
"Storm King","Victory Brewing Company","American Imperial / Double Stout",9.1,0,"Oh god yes","Cellar Door",,,52.5991,-1.84788,4.5,"2014-11-12 20:45:33",https://untappd.com/c/128986562,https://untappd.com/beer/3830,https://untappd.com/brewery/1326,"United States"
"8-Ball Rye IPA",Beavertown,"Rye Beer",6.2,50,,,,,,,5,"2014-11-13 18:29:47",https://untappd.com/c/129137553,https://untappd.com/beer/136670,https://untappd.com/brewery/24735,England
Kellerweis,"Sierra Nevada Brewing Co.",Hefeweizen,4.8,15,,,,,,,4,"2014-11-13 20:50:12",https://untappd.com/c/129153804,https://untappd.com/beer/5374,https://untappd.com/brewery/1142,"United States"
"Roundhouse Kick","CREW Republic","Russian Imperial Stout",9.2,71,"Lovely fireside sipper",,,,,,4,"2014-11-13 21:36:36",https://untappd.com/c/129160561,https://untappd.com/beer/324896,https://untappd.com/brewery/19889,Germany
"Franziskaner Hefe-Weissbier Naturtrüb",Spaten-Franziskaner-Löwenbräu-Gruppe,Hefeweizen,5,4,,"Frankfurt Christmas Market",Birmingham,"West Midlands",52.4797,-1.90256,4.5,"2014-11-14 20:26:23",https://untappd.com/c/129372460,https://untappd.com/beer/14564,https://untappd.com/brewery/1176,Germany
"IPA Is Dead Citra",BrewDog,"American IPA",7.5,75,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4.5,"2014-11-14 23:45:07",https://untappd.com/c/129443296,https://untappd.com/beer/31560,https://untappd.com/brewery/241,Scotland
"India Pale Weizen",BrewDog,Hefeweizen,5.6,0,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4.5,"2014-11-14 23:46:01",https://untappd.com/c/129443577,https://untappd.com/beer/821324,https://untappd.com/brewery/241,Scotland
"Nanny State",BrewDog,Non-Alcoholic,0.5,45,"Delicious considering the lack of booze",,,,,,3.5,"2014-11-15 17:38:48",https://untappd.com/c/129690368,https://untappd.com/beer/10839,https://untappd.com/brewery/241,Scotland
"Gueuze 100% Lambic Bio","Brasserie Cantillon",Gueuze,5,0,,,,,,,5,"2014-11-15 20:41:00",https://untappd.com/c/129769955,https://untappd.com/beer/56829,https://untappd.com/brewery/202,Belgium
"Pauwel Kwak","Brouwerij Bosteels","Belgian Strong Pale Ale",8.4,0,"Moar Belgian",,,,,,4,"2014-11-15 21:44:17",https://untappd.com/c/129806222,https://untappd.com/beer/358,https://untappd.com/brewery/269,Belgium
"Pale Ale","Camba Bavaria","American Pale Ale",5.2,0,"Pleasantly spicy, but something missing",,,,,,3.5,"2014-11-15 22:19:12",https://untappd.com/c/129826638,https://untappd.com/beer/162182,https://untappd.com/brewery/22882,Germany
"Mama's Little Yella Pils","Oskar Blues Brewery","Czech Pilsener",5.3,35,,,,,,,4,"2014-11-16 16:34:54",https://untappd.com/c/130116479,https://untappd.com/beer/5210,https://untappd.com/brewery/956,"United States"
Stout,"Crate Brewery",Stout,5.7,0,"Lovely flavours, but a touch thin. Wanted a bit more alcohol burn too",,,,,,3.5,"2014-11-16 21:04:22",https://untappd.com/c/130188973,https://untappd.com/beer/279634,https://untappd.com/brewery/34365,England
"5 Barrel Pale Ale","Odell Brewing Co.","English Pale Ale",5.2,36,,,,,,,3.5,"2014-11-16 21:24:14",https://untappd.com/c/130195999,https://untappd.com/beer/879,https://untappd.com/brewery/7296,"United States"
"Saison Obscura",Otley,"Saison / Farmhouse Ale",5.5,0,"A saison in an Ember Inns pub? People, we've reached Peak Saison.",,,,,,3.5,"2014-11-19 12:45:09",https://untappd.com/c/130680918,https://untappd.com/beer/43557,https://untappd.com/brewery/3478,Wales
"Quirkafleeg Tap 2",Pezbraü,Hefeweizen,5.7,0,"Found a bottle of this in the fridge. Still screwing about the amount of crystal I put in. Nice all the same.",,,,,,4,"2014-11-19 21:14:37",https://untappd.com/c/130715538,https://untappd.com/beer/760096,https://untappd.com/brewery/50721,England
Kiwi,"Brodie's Brewery","New Zealand Pale Ale",3.8,0,"TRAIN BEER",,,,,,4,"2014-11-20 16:54:55",https://untappd.com/c/130874889,https://untappd.com/beer/70989,https://untappd.com/brewery/12784,England
"Ryesing Tides","Siren Craft Brew","Rye Beer",7.4,0,,,,,,,4.5,"2014-11-20 21:05:30",https://untappd.com/c/130902706,https://untappd.com/beer/474322,https://untappd.com/brewery/55184,England
"Black Betty",Beavertown,"Black IPA / Cascadian Dark Ale",7.4,60,"Textbook black IPA",,,,,,4,"2014-11-20 21:56:08",https://untappd.com/c/130911373,https://untappd.com/beer/247272,https://untappd.com/brewery/24735,England
"Jack Of Clubs","Wild Card Brewery","English Bitter",4.5,0,,,,,,,3,"2014-11-20 22:31:27",https://untappd.com/c/130919434,https://untappd.com/beer/280924,https://untappd.com/brewery/99415,England
"Konnichiwa Kitsune",BrewDog,"Imperial / Double IPA",8.2,70,"Helluva citrus kick, with a touch of pine, a malty backbone and a dry finish. S'alright this",,,,,,4,"2014-11-21 20:23:59",https://untappd.com/c/131138394,https://untappd.com/beer/881705,https://untappd.com/brewery/241,Scotland
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,"Cans. Aaaaaaaaaw yeah",,,,,,5,"2014-11-21 21:08:42",https://untappd.com/c/131149865,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Gamma Ray",Beavertown,"American Pale Ale",5.4,45,"JUICY BANGER",,,,,,4.5,"2014-11-21 21:58:19",https://untappd.com/c/131164984,https://untappd.com/beer/237500,https://untappd.com/brewery/24735,England
"Easy IPA","Flying Dog Brewery","American IPA",4.7,50,,,,,,,4,"2014-11-21 22:22:46",https://untappd.com/c/131173446,https://untappd.com/beer/270757,https://untappd.com/brewery/540,"United States"
"Mama's Little Yella Pils","Oskar Blues Brewery","Czech Pilsener",5.3,35,,,,,,,4,"2014-11-22 21:04:51",https://untappd.com/c/131562593,https://untappd.com/beer/5210,https://untappd.com/brewery/956,"United States"
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,,,,,,,5,"2014-11-22 21:33:50",https://untappd.com/c/131580221,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Storm King","Victory Brewing Company","American Imperial / Double Stout",9.1,0,,,,,,,4.5,"2014-11-22 22:15:48",https://untappd.com/c/131603950,https://untappd.com/beer/3830,https://untappd.com/brewery/1326,"United States"
Chiron,"Thornbridge Brewery","American Pale Ale",5,0,,,,,,,3.5,"2014-11-23 21:05:47",https://untappd.com/c/131986945,https://untappd.com/beer/47804,https://untappd.com/brewery/2047,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2014-11-26 21:16:31",https://untappd.com/c/132557274,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"This. Is. Lager.",BrewDog,Pilsner,4.7,40,"Not bad, but I want a slightly more malty finish",,,,,,3.5,"2014-11-27 16:54:58",https://untappd.com/c/132831278,https://untappd.com/beer/799438,https://untappd.com/brewery/241,Scotland
"BigLeaf Maple Autumn Red","Anchor Brewing Company","American Amber / Red Ale",6,0,"Everything about this beer screams autumn",,,,,,4,"2014-11-27 21:26:10",https://untappd.com/c/132952916,https://untappd.com/beer/389226,https://untappd.com/brewery/3891,"United States"
"8-Ball Rye IPA",Beavertown,"Rye Beer",6.2,50,"Dunno if I'm just getting immune, but I'm not picking up the spiciness of the rye as much as I used to. Still a quality drop",,,,,,4.5,"2014-11-27 21:55:28",https://untappd.com/c/132969395,https://untappd.com/beer/136670,https://untappd.com/brewery/24735,England
"Man On The Oss","Sacre Brew","Saison / Farmhouse Ale",4.7,28,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,3.5,"2014-11-28 20:20:31",https://untappd.com/c/133258138,https://untappd.com/beer/490667,https://untappd.com/brewery/86848,England
Cocœclipse,"Sacre Brew","Imperial / Double IPA",8,0,"Lovely subtle coconut flavours going on here",,,,,,4.5,"2014-11-28 21:02:27",https://untappd.com/c/133278194,https://untappd.com/beer/892438,https://untappd.com/brewery/86848,England
"04/02 Berliner Weisse","Brew By Numbers","Berliner Weisse",5.8,0,,,,,,,3,"2014-11-28 22:07:31",https://untappd.com/c/133312367,https://untappd.com/beer/292867,https://untappd.com/brewery/50834,England
Wendigo,"Sacre Brew","American IPA",6.9,78,"That's a juicy banger if ever I tasted one","Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4.5,"2014-11-28 23:58:42",https://untappd.com/c/133379048,https://untappd.com/beer/760986,https://untappd.com/brewery/86848,England
"Punk IPA",BrewDog,"American IPA",5.6,45,"After a night on Pedigree, this tastes even better than usual",,,,,,5,"2014-11-29 23:15:51",https://untappd.com/c/133795474,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Hoppy Christmas (7.2%)",BrewDog,"American IPA",7.2,66,"Decorations are up, so I'm officially allowed to drink this",,,,,,4.5,"2014-11-30 20:11:23",https://untappd.com/c/134093543,https://untappd.com/beer/245413,https://untappd.com/brewery/241,Scotland
"India Pale Ale Rakau","The Kernel Brewery","English IPA",6.9,0,"Soft fruitiness and subtle piney notes on the finish. Lovely.",,,,,,4,"2014-11-30 21:26:11",https://untappd.com/c/134117777,https://untappd.com/beer/881792,https://untappd.com/brewery/3376,England
ODIPA,Pezbraü,"Rye Beer",5,50,"A bit undercarbed, and the aroma hops are a bit lacking, but it's early days yet. And the rye flavour is great!",,,,,,3.5,"2014-12-02 21:50:25",https://untappd.com/c/134436358,https://untappd.com/beer/897261,https://untappd.com/brewery/50721,England
"15/01 Black IPA (Yakima Valley)","Brew By Numbers","Black IPA / Cascadian Dark Ale",6.1,0,"Slightly too astringent for a black IPA, but I think bad pouring might not have helped",,,,,,3.5,"2014-12-03 21:48:14",https://untappd.com/c/134594970,https://untappd.com/beer/878450,https://untappd.com/brewery/50834,England
"Ola Dubh 12 Year Special Reserve","Harviestoun Brewery","Old Ale",8,0,,,,,,,4,"2014-12-03 22:12:08",https://untappd.com/c/134598733,https://untappd.com/beer/7988,https://untappd.com/brewery/638,Scotland
"Session IPA","Hackney Brewery","English IPA",4.1,0,,,,,,,4,"2014-12-04 12:56:18",https://untappd.com/c/134737667,https://untappd.com/beer/820833,https://untappd.com/brewery/32715,England
"Amber Ale","Fourpure Brewing Co","American Amber / Red Ale",5.1,25,,,,,,,4,"2014-12-04 18:14:29",https://untappd.com/c/134751167,https://untappd.com/beer/483926,https://untappd.com/brewery/86957,England
"East India Pale Ale (IPA)","Brooklyn Brewery","English IPA",6.9,47,"Pineiness rubbing along beautifully with sticky caramel notes. Similar to Torpedo, but not *quite* as nice",,,,,,4,"2014-12-04 22:10:25",https://untappd.com/c/134781906,https://untappd.com/beer/1826,https://untappd.com/brewery/259,"United States"
"Out of Office","Weird Beard Brew Co.","American IPA",7,0,"No rating because I genuinely don't know what to think!",,,,,,,"2014-12-04 22:34:02",https://untappd.com/c/134786834,https://untappd.com/beer/840763,https://untappd.com/brewery/30704,England
ODIPA,Pezbraü,"Rye Beer",5,50,"Still annoyed about miscalculating the priming sugar, but nice all the same. Almost chocolatey flavour from the rye and the crystal",,,,,,4,"2014-12-06 19:53:42",https://untappd.com/c/135372829,https://untappd.com/beer/897261,https://untappd.com/brewery/50721,England
"Black Betty",Beavertown,"Black IPA / Cascadian Dark Ale",7.4,60,,,,,,,4.5,"2014-12-06 21:26:25",https://untappd.com/c/135418973,https://untappd.com/beer/247272,https://untappd.com/brewery/24735,England
"Broken Dream (Buffalo Trace Barrel Aged)","Siren Craft Brew",Stout,7.4,0,,,,,,,4.5,"2014-12-06 21:27:01",https://untappd.com/c/135419343,https://untappd.com/beer/556379,https://untappd.com/brewery/55184,England
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,"My reward for a bedtime well-served",,,,,,5,"2014-12-07 21:50:34",https://untappd.com/c/135847836,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Peanut Butter Brown Ale (Charlie Brown)","Thornbridge Brewery","English Brown Ale",6.2,0,"Not quite as much peanut as the keg version, but I like it still",,,,,,3.5,"2014-12-07 21:51:20",https://untappd.com/c/135848107,https://untappd.com/beer/738580,https://untappd.com/brewery/2047,England
"Yakima Red","Meantime Brewing Company","American Amber / Red Ale",4.1,45,,,,,,,3.5,"2014-12-12 21:56:22",https://untappd.com/c/136785900,https://untappd.com/beer/45917,https://untappd.com/brewery/844,England
Bliss,"The Wild Beer Co","Saison / Farmhouse Ale",6,0,"Catching up on last night's drinking. Had a growler of this. Lovely",,,,,,4,"2014-12-14 08:01:53",https://untappd.com/c/137482661,https://untappd.com/beer/259507,https://untappd.com/brewery/41559,England
Citra,"Oakham Ales","American Pale Ale",4.2,0,,,,,,,5,"2014-12-14 08:02:16",https://untappd.com/c/137482677,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Wild Goose Chase","The Wild Beer Co","Sour Ale",4.5,0,"Endlessly quaffable",,,,,,4,"2014-12-14 21:03:36",https://untappd.com/c/137587813,https://untappd.com/beer/862052,https://untappd.com/brewery/41559,England
"Modus Operandi (Modus Vivendi)","The Wild Beer Co","Old Ale",7,0,"Need a big bit of cheese. Mature cheddar please.",,,,,,4,"2014-12-14 21:45:08",https://untappd.com/c/137603078,https://untappd.com/beer/241059,https://untappd.com/brewery/41559,England
"Wedding Pale Ale","Bier Fabrik Berlin","American IPA",5.2,0,,,,,,,4,"2014-12-16 22:09:04",https://untappd.com/c/137950554,https://untappd.com/beer/311473,https://untappd.com/brewery/133410,Germany
"IHL India Hells Lager","Camden Town Brewery","IPL (India Pale Lager)",6.2,55,"JUICY BANGER",,,,,,4.5,"2014-12-18 12:39:59",https://untappd.com/c/138279549,https://untappd.com/beer/743565,https://untappd.com/brewery/10433,England
"All Day IPA (Session Ale)","Founders Brewing Co.","American IPA",4.7,42,"Train beer from earlier",,,,,,4,"2014-12-18 21:49:29",https://untappd.com/c/138328893,https://untappd.com/beer/36834,https://untappd.com/brewery/549,"United States"
"Epic Saison","The Wild Beer Co","Saison / Farmhouse Ale",5,0,,,,,,,4,"2014-12-18 21:49:49",https://untappd.com/c/138328974,https://untappd.com/beer/259506,https://untappd.com/brewery/41559,England
"Drunken Sailor","CREW Republic","American IPA",6.4,58,"Soooooooo much Munich. Sorta drowns out the hops, but nice all the same.",,,,,,3.5,"2014-12-18 21:50:57",https://untappd.com/c/138329206,https://untappd.com/beer/162217,https://untappd.com/brewery/19889,Germany
"16/02 Red Ale Amarillo Citra Simcoe","Brew By Numbers","American Amber / Red Ale",5.4,0,"Nothing incredible, but not terrible either",,,,,,3.5,"2014-12-19 20:52:26",https://untappd.com/c/138573083,https://untappd.com/beer/905555,https://untappd.com/brewery/50834,England
"Caesar Augustus","Williams Brothers Brewing Co.","IPL (India Pale Lager)",4.1,0,,,,,,,4,"2014-12-19 22:03:08",https://untappd.com/c/138595174,https://untappd.com/beer/77447,https://untappd.com/brewery/1367,Scotland
"Epic Saison","The Wild Beer Co","Saison / Farmhouse Ale",5,0,,,,,,,4,"2014-12-19 22:03:35",https://untappd.com/c/138595287,https://untappd.com/beer/259506,https://untappd.com/brewery/41559,England
"Dale's Pale Ale","Oskar Blues Brewery","American Pale Ale",6.5,65,,,,,,,4.5,"2014-12-19 22:56:07",https://untappd.com/c/138615903,https://untappd.com/beer/10759,https://untappd.com/brewery/956,"United States"
"Pedigree New World Pale Ale","Marston's Beer Co","English Pale Ale",4.1,0,Meh,,,,,,2.5,"2014-12-21 13:28:45",https://untappd.com/c/139281135,https://untappd.com/beer/383523,https://untappd.com/brewery/1517,England
"Hartington IPA","Whim Ales","English IPA",4.5,0,"Textbook English IPA. Maybe a touch too sweet, but lovely all the same","Ye Olde Royal Oak Inn",Wetton,Staffordshire,53.0954,-1.83887,4,"2014-12-21 20:29:11",https://untappd.com/c/139366913,https://untappd.com/beer/70154,https://untappd.com/brewery/1355,England
"Hartington Bitter","Whim Ales","Golden Ale",4,0,"Lovely hoppy bite to this, and a nice dry finish",,,,,,4,"2014-12-23 21:09:21",https://untappd.com/c/139868089,https://untappd.com/beer/68917,https://untappd.com/brewery/1355,England
"Jaw Gate","Buxton Brewery","American Pale Ale",5.6,0,,,,,,,4,"2014-12-27 21:04:45",https://untappd.com/c/141391705,https://untappd.com/beer/322168,https://untappd.com/brewery/3461,England
"Wyoming Sheep Ranch","Buxton Brewery","Imperial / Double IPA",8.4,0,"Working my way through ALL THE BUXTON",,,,,,4,"2014-12-27 21:56:27",https://untappd.com/c/141421173,https://untappd.com/beer/311535,https://untappd.com/brewery/3461,England
